clean.id,Q3.18_1,Q3.18_2,Q3.18_3,Q3.18_4,Q3.18_5,Q3.18_6,Q3.21_1,Q3.21_2,Q3.21_3,Q3.21_4
1234,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1342,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1342,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1061,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1215,1,1,1,NA,NA,NA,NA,NA,1,NA
1215,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1140,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1348,NA,NA,NA,1,NA,NA,NA,NA,1,1
1069,1,1,NA,NA,NA,NA,1,1,1,NA
1307,1,1,1,1,NA,NA,1,1,1,1
1382,1,NA,1,NA,NA,NA,1,NA,1,NA
1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1305,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1478,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1265,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1218,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1293,1,NA,NA,NA,NA,NA,1,NA,1,NA
1162,1,NA,NA,NA,NA,NA,1,NA,NA,1
1432,NA,NA,NA,NA,1,NA,1,1,1,1
1432,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1432,NA,NA,NA,NA,1,NA,1,NA,1,NA
1076,1,NA,NA,NA,NA,NA,1,NA,NA,1
1018,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1151,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1151,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1151,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1434,1,1,NA,1,NA,NA,1,NA,1,NA
1001,1,1,NA,NA,NA,NA,1,NA,1,NA
1360,1,1,1,NA,NA,NA,1,NA,1,NA
1364,1,1,1,NA,NA,NA,1,1,1,NA
1364,NA,NA,NA,1,NA,NA,NA,NA,1,NA
1364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1337,1,NA,NA,NA,NA,NA,NA,NA,1,1
1445,1,1,1,NA,NA,NA,NA,NA,1,NA
1339,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1192,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1516,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1013,1,1,1,NA,NA,NA,NA,NA,1,NA
1190,1,1,1,NA,NA,NA,NA,NA,NA,1
1091,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1091,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1091,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1191,NA,NA,NA,NA,1,NA,1,NA,1,NA
1094,1,NA,1,NA,NA,NA,1,NA,1,NA
1094,NA,NA,NA,NA,NA,1,NA,NA,NA,1
1200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1450,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1437,1,1,NA,NA,NA,NA,NA,NA,NA,1
1203,1,1,1,1,NA,NA,1,1,1,NA
1203,1,NA,NA,NA,NA,NA,1,NA,1,NA
1203,1,NA,1,NA,NA,NA,1,NA,1,NA
1134,1,NA,NA,1,NA,NA,NA,NA,NA,NA
1066,1,1,1,NA,NA,NA,1,1,1,NA
1084,1,1,1,NA,NA,NA,1,1,1,NA
1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1334,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1366,1,NA,NA,NA,NA,NA,1,1,1,NA
1366,NA,1,NA,NA,NA,NA,NA,NA,1,NA
1188,1,NA,NA,1,NA,NA,1,NA,1,NA
1068,1,NA,NA,NA,NA,NA,1,NA,1,NA
1163,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1495,NA,NA,NA,1,NA,NA,NA,NA,1,NA
1495,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1501,1,NA,NA,NA,NA,NA,1,NA,1,NA
1096,NA,NA,NA,NA,1,NA,1,1,1,NA
1096,NA,NA,NA,NA,1,NA,1,NA,1,NA
1427,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1139,1,1,NA,NA,NA,NA,1,1,1,NA
1157,1,NA,1,NA,NA,NA,NA,NA,NA,1
1257,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1444,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1336,1,1,1,NA,NA,NA,1,NA,1,NA
1079,1,1,NA,1,NA,NA,NA,NA,NA,1
1217,1,1,NA,NA,NA,NA,1,NA,NA,NA
1119,NA,NA,NA,1,NA,NA,NA,NA,NA,1
1316,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1457,1,1,NA,NA,NA,NA,1,NA,1,NA
1099,1,1,NA,NA,NA,NA,NA,NA,NA,1
1494,1,1,1,NA,NA,NA,1,NA,1,NA
1276,NA,NA,NA,1,1,NA,NA,NA,1,NA
1341,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1288,1,NA,1,NA,NA,NA,1,NA,1,NA
1345,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1345,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1345,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1144,NA,NA,NA,NA,1,NA,NA,NA,1,1
1210,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1290,1,1,1,1,NA,NA,1,1,NA,1
1448,NA,NA,NA,NA,1,1,NA,NA,1,NA
1479,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1479,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1384,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1270,NA,NA,NA,1,NA,NA,1,1,1,1
1321,1,1,1,NA,NA,NA,1,1,1,NA
1321,1,1,NA,NA,NA,NA,1,NA,1,NA
1278,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1174,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1174,NA,NA,NA,NA,NA,1,NA,NA,1,NA
1500,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1500,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1361,1,1,1,NA,NA,NA,NA,NA,NA,NA
1313,NA,NA,NA,1,NA,NA,1,NA,1,NA
1340,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1037,1,NA,NA,1,NA,NA,NA,NA,1,NA
1302,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1456,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1169,1,NA,NA,NA,NA,NA,1,NA,1,NA
1387,1,NA,NA,NA,NA,NA,1,NA,1,NA
1195,1,1,1,NA,NA,NA,1,NA,1,NA
1488,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1197,1,NA,NA,NA,NA,NA,NA,NA,NA,1
1259,1,1,1,NA,NA,NA,1,NA,1,NA
1006,1,NA,NA,NA,NA,NA,1,1,1,NA
1006,1,NA,NA,NA,NA,NA,1,1,1,NA
1518,1,1,NA,1,NA,NA,NA,NA,1,NA
1327,1,1,1,NA,NA,NA,NA,NA,1,1
1201,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1442,1,NA,NA,NA,NA,NA,1,NA,1,NA
1250,NA,NA,NA,NA,1,NA,1,NA,1,NA
1296,NA,NA,NA,NA,1,NA,NA,NA,1,1
1244,1,NA,NA,NA,NA,NA,NA,NA,NA,1
1452,NA,NA,NA,1,NA,NA,NA,NA,1,NA
1383,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1503,1,1,NA,NA,NA,NA,NA,NA,NA,1
1161,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1496,NA,NA,NA,NA,1,NA,1,NA,1,NA
1496,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1472,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1335,1,NA,NA,NA,NA,NA,NA,NA,NA,1
1493,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1282,1,NA,NA,1,NA,NA,1,NA,NA,NA
1318,1,NA,1,NA,NA,NA,1,NA,1,NA
1318,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1275,1,1,NA,NA,NA,NA,1,NA,1,NA
1477,1,NA,NA,NA,NA,NA,1,NA,1,NA
1121,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1465,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1465,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1247,1,NA,NA,NA,NA,NA,1,1,1,1
1247,NA,NA,NA,NA,1,NA,1,NA,1,NA
1274,NA,NA,NA,NA,1,NA,NA,NA,NA,1
1242,NA,NA,NA,NA,1,NA,1,NA,1,NA
1242,NA,NA,NA,NA,1,NA,1,1,1,NA
