clean.id,Q3.19,Q3.25,Q3.25_collapsed
1307,Most important actor,Positive,Positive
1382,Most important actor,Positive,Positive
1326,Don't know,NA,NA
1133,Most important actor,Positive,Positive
1305,Don't know,NA,NA
1478,Don't know,NA,NA
1265,Somewhat important actor,Positive,Positive
1218,Somewhat important actor,Mixed,Mixed
1293,Not an important actor,NA,NA
1162,Most important actor,Positive,Positive
1432,Somewhat important actor,Mixed,Mixed
1432,Don't know,NA,NA
1432,Somewhat important actor,Positive,Positive
1076,Don't know,NA,NA
1018,Don't know,NA,NA
1151,Don't know,NA,NA
1151,Don't know,NA,NA
1151,Don't know,NA,NA
1434,Somewhat important actor,Positive,Positive
1001,Somewhat important actor,Positive,Positive
1360,Most important actor,Positive,Positive
1364,Most important actor,Positive,Positive
1364,Don't know,NA,NA
1364,NA,NA,NA
1222,Not an important actor,NA,NA
1337,Don't know,NA,NA
1445,Most important actor,Positive,Positive
1339,Don't know,NA,NA
1192,Somewhat important actor,Mixed,Mixed
1516,Don't know,NA,NA
1013,Most important actor,Positive,Positive
1190,Most important actor,Positive,Positive
1091,Not an important actor,NA,NA
1091,Don't know,NA,NA
1091,Don't know,NA,NA
1191,Not an important actor,NA,NA
1094,Most important actor,Positive,Positive
1094,Don't know,NA,NA
1200,Somewhat important actor,Don't know,Don't know
1450,Somewhat important actor,Positive,Positive
1437,Most important actor,Don't know,Don't know
1203,Somewhat important actor,Positive,Positive
1203,Don't know,NA,NA
1203,Most important actor,Don't know,Don't know
1134,Don't know,NA,NA
1066,Most important actor,Positive,Positive
1084,Most important actor,Positive,Positive
1084,NA,NA,NA
1408,Don't know,NA,NA
1334,Don't know,NA,NA
1366,Most important actor,Positive,Positive
1366,Most important actor,Positive,Positive
1188,Somewhat important actor,Positive,Positive
1068,Somewhat important actor,Positive,Positive
1163,Not an important actor,NA,NA
1495,Not an important actor,NA,NA
1495,Don't know,NA,NA
1501,Somewhat important actor,Positive,Positive
1096,Not an important actor,NA,NA
1096,Somewhat important actor,Mixed,Mixed
1427,Not an important actor,NA,NA
1418,Somewhat important actor,Don't know,Don't know
1139,Somewhat important actor,Don't know,Don't know
1157,Not an important actor,NA,NA
1257,Somewhat important actor,Mixed,Mixed
1444,Not an important actor,NA,NA
1336,Most important actor,Positive,Positive
1079,Somewhat important actor,Mixed,Mixed
1217,Somewhat important actor,Positive,Positive
1119,Most important actor,Positive,Positive
1316,Don't know,NA,NA
1457,Most important actor,Mixed,Mixed
